Code,Description,Type,TypeLabel
15,Senior managers in finance usually require a professional accounting designation. ,70,Employment requirements
15,There is mobility among senior management occupations. ,80,Additional information
16,chief executive officer (CEO) - manufacturing company ,10,Illustrative example(s)
16,chief financial officer (CFO) - urban transit system ,10,Illustrative example(s)
16,"corporate controller, logging company ",10,Illustrative example(s)
16,executive vice-president - railway ,10,Illustrative example(s)
16,"general manager, trucking company ",10,Illustrative example(s)
16,"president, residential construction company ",10,Illustrative example(s)
16,publishing house general manager ,10,Illustrative example(s)
16,"regional vice-president, petroleum production company ",10,Illustrative example(s)
16,"vice-president, finance - mining company ",10,Illustrative example(s)
16,"vice-president, marketing - airline ",10,Illustrative example(s)
16,"vice-president, operations - electric power company ",10,Illustrative example(s)
16,"vice-president, sales - pulp and paper manufacturing ",10,Illustrative example(s)
16,"assistant executive director - goods production, utilities, transportation and construction ",19,All examples
16,building construction general manager ,19,All examples
16,"CEO (chief executive officer) - goods production, utilities, transportation and construction ",19,All examples
16,CEO (chief executive officer) - manufacturing company ,19,All examples
16,"CFO (chief financial officer) - goods production, utilities, transportation and construction ",19,All examples
16,CFO (chief financial officer) - urban transit system ,19,All examples
16,"chief executive officer (CEO) - goods production, utilities, transportation and construction ",19,All examples
16,chief executive officer (CEO) - manufacturing company ,19,All examples
16,"chief financial officer (CFO) - goods production, utilities, transportation and construction ",19,All examples
16,chief financial officer (CFO) - urban transit system ,19,All examples
16,"chief operating officer - goods production, utilities, transportation and construction ",19,All examples
16,construction general manager ,19,All examples
16,"corporate controller - goods production, utilities, transportation and construction ",19,All examples
16,"corporate controller, logging company ",19,All examples
16,"deputy chief executive officer - goods production, utilities, transportation and construction ",19,All examples
16,electric power company president ,19,All examples
16,"engineering vice-president - goods production, utilities, transportation and construction ",19,All examples
16,"executive director - goods production, utilities, transportation and construction ",19,All examples
16,"executive vice-president - goods production, utilities, transportation and construction ",19,All examples
16,executive vice-president - railway ,19,All examples
16,feed and flour mills general manager ,19,All examples
16,"finance and administration vice-president - goods production, utilities, transportation and construction ",19,All examples
16,"finance vice-president - goods production, utilities, transportation and construction ",19,All examples
16,finance vice-president - mining company ,19,All examples
16,gas distribution general manager ,19,All examples
16,"general manager - goods production, utilities, transportation and construction ",19,All examples
16,"general manager, trucking company ",19,All examples
16,highway construction general manager ,19,All examples
16,"human resources and organizational development vice-president - goods production, utilities, transportation and construction ",19,All examples
16,"human resources vice-president - goods production, utilities, transportation and construction ",19,All examples
16,hydro-electric power station president ,19,All examples
16,"information systems vice-president - goods production, utilities, transportation and construction ",19,All examples
