NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
7522,Public works maintenance equipment operators and related workers,500,500,500,600,600,600,700,700,700,700,700
7530,Other transport equipment operators and related maintenance workers,400,500,500,500,500,600,600,700,700,700,700
7610,Trades helpers and labourers,1300,1300,1400,1500,1600,1600,1800,1800,1900,1900,1900
7620,"Public works and other labourers, n.e.c.",300,300,400,400,400,400,400,500,500,500,500
8211,"Supervisors, logging and forestry",100,100,100,100,100,200,200,200,200,200,200
8220,"Contractors and supervisors, mining, oil and gas",500,600,600,600,600,700,700,700,700,700,700
8231,Underground production and development miners,300,300,300,300,300,400,400,400,400,400,400
8232,"Oil and gas well drillers, servicers, testers and related workers",400,400,400,400,500,500,500,500,500,500,600
8241,Logging machinary operators,300,300,300,300,300,300,300,300,300,300,300
8252,"Agricultural service contractors, farm supervisors and specialized livestock workers & Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1700,1700,1700,1700,1700,1700,1700,1700,1800,1800,1800
8260,Fishing vessel masters and fishermen/women,500,500,500,500,500,500,500,500,500,400,400
8410,Mine service workers and operatorsin oil and gas drilling,100,100,200,200,200,200,200,200,200,200,200
8420,Logging and forestry workers,400,400,400,400,400,400,400,400,400,400,400
8431,General farm workers,800,800,900,900,900,1000,1000,1000,1100,1100,1100
8432,Nursery and greenhouse workers,200,200,200,200,200,200,200,200,200,200,200
8440,Other workers in fishing and trapping and hunting occupations,100,100,100,100,100,100,100,100,100,100,100
8611,Harvesting labourers; Aquaculture and marine harvest labourers & Logging and forestry labourers,200,200,200,200,200,200,200,200,200,200,200
8612,Landscaping and grounds maintenance labourers,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
8614,"Mine labourers & Oil and gas drilling, servicing and related labourers",200,200,200,200,200,200,200,200,200,200,200
9211,"Supervisors, mineral and metal processing & Supervisors, petroleum, gas and chemical processing and utilities",600,700,700,800,800,900,900,900,900,900,900
9213,"Supervisors, food, beverage and related products processing",400,500,500,500,500,600,600,600,600,600,600
9214,"Supervisors, plastic and rubber products manufacturing; Supervisors, forest products processing & Supervisors, textile, fabric, fur and leather products processing and manufacturing",600,700,700,700,700,800,800,800,800,800,800
9220,"Supervisors, assembly and fabrication",1600,1600,1600,1700,1700,1800,1800,1800,1800,1800,1800
9230,Central control and process operatorsin processing and manufacturing,300,400,400,500,500,500,500,500,500,500,500
9240,Utilities equipment operators and controllers,600,600,700,700,800,900,900,900,900,900,900
