Title,NOC4,Statistics,Average
"Employment insurance, immigration, border services and revenue officers [1228] ",1228,Average offered hourly wage (dollars) (5),23.7
"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226] ",5226,Average offered hourly wage (dollars) (5),23.75
Architectural technologists and technicians [2251] ,2251,Average offered hourly wage (dollars) (5),23.8125
Conservation and fishery officers [2224] ,2224,Average offered hourly wage (dollars) (5),23.9
Plumbers [7251] ,7251,Average offered hourly wage (dollars) (5),23.975
Graphic designers and illustrators [5241] ,5241,Average offered hourly wage (dollars) (5),24.0375
Other technical occupations in therapy and assessment [3237] ,3237,Average offered hourly wage (dollars) (5),24.0375
"Supervisors, library, correspondence and related information workers [1213] ",1213,Average offered hourly wage (dollars) (5),24.11666667
"Supervisors, plastic and rubber products manufacturing [9214] ",9214,Average offered hourly wage (dollars) (5),24.11666667
Other professional occupations in therapy and assessment [3144] ,3144,Average offered hourly wage (dollars) (5),24.2125
"Contractors and supervisors, other construction trades, installers, repairers and servicers [7205] ",7205,Average offered hourly wage (dollars) (5),24.3375
Industrial engineering and manufacturing technologists and technicians [2233] ,2233,Average offered hourly wage (dollars) (5),24.4125
"Plasterers, drywall installers and finishers and lathers [7284] ",7284,Average offered hourly wage (dollars) (5),24.425
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244] ",2244,Average offered hourly wage (dollars) (5),24.4625
Concrete finishers [7282] ,7282,Average offered hourly wage (dollars) (5),24.5
Telecommunications line and cable workers [7245] ,7245,Average offered hourly wage (dollars) (5),24.5
Technical sales specialists - wholesale trade [6221] ,6221,Average offered hourly wage (dollars) (5),24.5125
"Supervisors, food and beverage processing [9213] ",9213,Average offered hourly wage (dollars) (5),24.525
"By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423] ",4423,Average offered hourly wage (dollars) (5),24.55
"Supervisors, other products manufacturing and assembly [9227] ",9227,Average offered hourly wage (dollars) (5),24.58333333
Archivists [5113] ,5113,Average offered hourly wage (dollars) (5),24.61666667
Sheet metal workers [7233] ,7233,Average offered hourly wage (dollars) (5),24.7
Tilesetters [7283] ,7283,Average offered hourly wage (dollars) (5),24.7875
"Supervisors, electrical products manufacturing [9223] ",9223,Average offered hourly wage (dollars) (5),24.8
Electricians (except industrial and power system) [7241] ,7241,Average offered hourly wage (dollars) (5),24.8875
Licensed practical nurses [3233] ,3233,Average offered hourly wage (dollars) (5),24.925
"Supervisors, general office and administrative support workers [1211] ",1211,Average offered hourly wage (dollars) (5),24.925
Executive assistants [1222] ,1222,Average offered hourly wage (dollars) (5),24.9375
"Patternmakers - textile, leather and fur products [5245] ",5245,Average offered hourly wage (dollars) (5),24.95
"Education policy researchers, consultants and program officers [4166] ",4166,Average offered hourly wage (dollars) (5),25.05
Information systems testing technicians [2283] ,2283,Average offered hourly wage (dollars) (5),25.05
Electrical and electronics engineering technologists and technicians [2241] ,2241,Average offered hourly wage (dollars) (5),25.1125
Other religious occupations [4217] ,4217,Average offered hourly wage (dollars) (5),25.15
Civil engineering technologists and technicians [2231] ,2231,Average offered hourly wage (dollars) (5),25.2625
"Securities agents, investment dealers and brokers [1113] ",1113,Average offered hourly wage (dollars) (5),25.3875
Paramedical occupations [3234] ,3234,Average offered hourly wage (dollars) (5),25.45
Professional occupations in religion [4154] ,4154,Average offered hourly wage (dollars) (5),25.53333333
Court clerks [1416] ,1416,Average offered hourly wage (dollars) (5),25.55
"Family, marriage and other related counsellors [4153] ",4153,Average offered hourly wage (dollars) (5),25.5625
"Supervisors, finance and insurance office workers [1212] ",1212,Average offered hourly wage (dollars) (5),25.6625
Oil and solid fuel heating mechanics [7331] ,7331,Average offered hourly wage (dollars) (5),25.66666667
Real estate agents and salespersons [6232] ,6232,Average offered hourly wage (dollars) (5),25.675
"Supervisors, motor transport and other ground transit operators [7305] ",7305,Average offered hourly wage (dollars) (5),25.7
"Heating, refrigeration and air conditioning mechanics [7313] ",7313,Average offered hourly wage (dollars) (5),25.725
Librarians [5111] ,5111,Average offered hourly wage (dollars) (5),25.73333333
Paralegal and related occupations [4211] ,4211,Average offered hourly wage (dollars) (5),25.9
